country,marketcap,percentage
United States,44671341324271.53,62.62837331364269
China,5671995535702.8,7.95203016772415
Japan,3941458882722.5415,5.525850601074285
India,3675508301267.767,5.152992929812013
United Kingdom,2833399052529.4404,3.972371734267127
France,2347963199683.194,3.291799875204487
Canada,2267958640551.817,3.1796350006442755
Saudi Arabia,2067892414186.2695,2.8991459456745887
Switzerland,1941830182085.2432,2.7224090871266573
Germany,1908293535621.111,2.6753913448297157
