country,revenue_ttm,percentage
United States,21777569617007,48.14443079499034
China,5627280431305,12.440424622837282
Japan,4377468751777,9.677422461897521
Germany,2803101350635,6.196913675876844
United Kingdom,2385036863641,5.2726839699960095
France,2261628157255,4.99986004939377
India,1707208007312,3.7741841356116432
Canada,1609753787931,3.558738702389183
South Korea,1418799892512,3.136590282491382
Switzerland,1265982386090,2.798751304516019
